PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID004,2019-07-31 16:14:30,-64.54430599979968,-64.0,1.3739300739221925,2.9976986290166847,-55.0,-78.0,1.0110357142857143,0.003316425372095281,2,2987.0,0
PID005,2019-08-01 12:15:30,-64.5685399245778,-64.0,0.825252021159586,1.2242849779406084,-53.0,-78.0,1.0100689655172412,0.003092976311427889,1,2964.0,0
PID002E,2019-07-30 14:58:30,-64.45448035982008,-65.0,1.3447711412748093,2.992582005750371,-53.0,-78.0,1.0112857142857143,0.004412584216861981,2,2869.0,0
PID002A,2019-07-24 12:12:00,-64.44994448945299,-64.0,1.1773242276929643,2.456951421204078,-54.0,-78.0,1.0137586206896552,0.007356509131441704,2,4037.0,0
PID004,2019-07-31 15:50:30,-64.22866651213616,-64.5,0.8881264245460346,1.1061058960238084,-55.0,-79.0,1.013689655172414,0.005726526298575413,2,2982.0,0
PID005,2019-08-01 11:34:00,-64.51993464052288,-65.0,0.829339433861781,0.9558780015932627,-55.0,-78.0,1.0131379310344828,0.006283334748881555,2,2992.0,0
PID006,2019-08-01 16:03:30,-65.84987477551331,-63.5,0.9773966507395665,1.1157161803713527,-54.0,-76.0,1.1978105198829876,0.0036253078686998698,2,4040.6280009368124,1
PID004,2019-07-31 15:53:30,-64.264,-64.0,0.8598955003470118,0.9754942528735633,-55.0,-78.0,1.0114137931034481,0.004717121105832833,1,2972.0,0
PID001,2019-07-24 09:48:00,-64.58378958668813,-64.0,1.2715703959034723,2.810742598786077,-54.0,-77.0,1.0795,0.07237471934315186,2,3677.0,0
PID006,2019-08-01 15:17:30,-64.41276429686393,-64.0,1.2210335346648529,2.2068199467624754,-53.0,-78.0,1.0169642857142855,0.006925434297691399,3,3064.0,0
PID002C,2019-07-30 13:18:30,-64.60380165878031,-65.0,1.1835923874300176,2.359884691253578,-54.0,-75.0,1.0102413793103449,0.0030665845637613846,2,3067.0,0
PID002C,2019-07-30 13:20:00,-64.3131295655517,-65.0,0.9025825702749151,1.0142203263996605,-54.0,-76.0,1.0119310344827586,0.004869225770685859,2,3023.0,0
PID002C,2019-07-30 13:22:00,-64.35528970208773,-65.0,0.9080700162443596,1.0829603565564156,-54.0,-77.0,1.0113928571428572,0.005307850829034327,4,2940.0,0
PID001,2019-07-24 09:58:00,-64.61726365488325,-64.0,1.2915302838221572,2.8711838653613224,-54.0,-78.0,1.0545714285714285,0.04511912509940161,2,3992.0,0
PID003,2019-07-31 12:05:30,-64.56185002736727,-65.0,0.9170705554589761,1.141621630238972,-54.0,-78.0,1.01075,0.003555121501283593,2,2914.0,0
PID002C,2019-07-30 13:09:00,-64.57353482804659,-64.0,0.8800678354417915,1.0630687660175255,-54.0,-77.0,1.0120714285714285,0.006370816398806492,2,2992.0,0
PID002C,2019-07-30 13:02:30,-64.63827160493827,-64.0,0.928712471823796,1.305707829845761,-54.0,-78.0,1.013206896551724,0.008448919247643566,3,3138.0,0
PID002B,2019-07-30 11:53:30,-64.73426130971211,-65.0,0.758891620256695,0.8350657567677497,-54.0,-75.0,1.0121785714285714,0.005099408618062325,1,3055.0,0
PID005,2019-08-01 11:32:00,-64.61899339288044,-65.0,0.8805625617781224,1.106509641390421,-55.0,-78.0,1.0115357142857142,0.004500881747828602,1,2904.0,0
PID002B,2019-07-30 12:04:30,-65.93541138417932,-65.0,1.1750416900330511,1.9845607906436997,-53.0,-78.0,0.8806337625419465,0.004695401796391527,4,3623.0979119777535,1
PID004,2019-07-31 15:48:00,-64.01790429042904,-63.0,0.8625798713365557,1.0500242790395982,-55.0,-78.0,1.0136551724137932,0.006629349580620198,2,3000.0,0
PID006,2019-08-01 15:30:30,-64.8084495802833,-64.0,0.7415433366839789,0.8901830793548486,-54.0,-78.0,1.0125714285714285,0.004756504874836002,1,2847.0,0
PID002E,2019-07-30 14:46:30,-64.49947753396029,-64.0,0.9064273788420042,1.2044086182017217,-54.0,-77.0,1.0144642857142858,0.006250820052021276,1,2871.0,0
